Row_Number,Candidate_ID,Title,Final_Decision,URL,Match_Status,Match_Method,Matched_Source_Path,Copied_Output_Path
58,CAND_440A05CD95,Georgia Power requests PSC permission to build and own 3GW of new battery storage projects - Energy-Storage.News,review,https://www.energy-storage.news/georgia-power-requests-psc-permission-to-build-and-own-3gw-of-new-battery-storage-projects/,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_Power_requests_PSC_permission_to_build_and_own_3GW_of_new_battery_storage_projects_-_Energy-Storage.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_Power_requests_PSC_permission_to_build_and_own_3GW_of_new_battery_storage_projects_-_Energy-Storage.html
59,CAND_11EAB94DC2,Electric Mobility Innovation Alliance (EMIA): Supply Chain | Georgia Department of Economic Development,review,https://georgia.org/mobility-supply-chain,unmatched,,,
60,CAND_E512073CF6,Electric Mobility Innovation Alliance (EMIA): Supply Chain | Georgia Department of Economic Development,review,https://www.georgia.org/mobility-supply-chain,unmatched,,,
61,CAND_6D1DF48ED0,[PDF] Clean Energy Investments Are Revitalizing Georgia Communities ...,review,https://climatepower.us/wp-content/uploads/2024/09/Clean-Energy-Investments-Are-Revitalizing-Georgia-Communities-CEE-2024_09_09-DR.pdf,unmatched,,,
62,CAND_742154D72B,[PDF] Georgia Department of Economic Development Board Meeting,review,https://georgia.org/sites/default/files/2023-01/2022-5-11_gdecd_board_minutes.pdf,unmatched,,,
63,CAND_36A7057B3A,Strategic EV Battery Partnerships: How Hyundai and LG Energy Solution's $4.3 Billion JV Positions Them for IRA-Driven Growth,review,https://www.ainvest.com/news/strategic-ev-battery-partnerships-hyundai-lg-energy-solution-4-3-billion-jv-positions-ira-driven-growth-2507,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Strategic_EV_Battery_Partnerships_How_Hyundai_and_LG_Energy_Solution's_$4.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Strategic_EV_Battery_Partnerships_How_Hyundai_and_LG_Energy_Solution's_$4.html
64,CAND_65E83306D3,[PDF] georgia-highlights_4th_edition_25th_anniversary_2021.pdf,review,https://georgia.org/sites/default/files/2021-07/georgia-highlights_4th_edition_25th_anniversary_2021.pdf,unmatched,,,
65,CAND_2790AA8AD8,Battery boom in the South: How states like Georgia are quietly building,review,https://business-news-today.com/battery-boom-in-the-south-how-states-like-georgia-are-quietly-building-energy-storage-capacity,unmatched,,,
66,CAND_EA6E724597,"Presentation to Annual General Meeting held on April 17, 2024",review,https://www.sec.gov/Archives/edgar/data/1859795/000095017024045550/nvx-ex99_3.htm,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/nvx-ex99_3.htm,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/nvx-ex99_3.htm
67,CAND_EE87E95CA3,[PDF] The Battery Report 2022 - Volta Foundation,review,https://report.volta.foundation/annual-battery-report/public/Battery_Report_2022.pdf,unmatched,,,
68,CAND_6C763FAA7D,[PDF] STATE OF Georgia's Supply Chain/ Logistics Technology Ecosystem,review,http://tagedonline.org/wp-content/uploads/2024/12/2020-Georgia_s-Supply-Chain-Ecosystem-Report.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/2020-Georgia_s-Supply-Chain-Ecosystem-Report.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/2020-Georgia_s-Supply-Chain-Ecosystem-Report.pdf
69,CAND_39B90E6E31,"Lineage Logistics Expands Port-Centric Facility Footprint in Savannah, Georgia — Bay Grove",review,https://www.bay-grove.com/press/2022/1/4/lineage-logistics-expands-port-centric-facility-footprint-in-savannah-georgia,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/lineage-logistics-expands-port-centric-facility-footprint-in-savannah-georgia.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/lineage-logistics-expands-port-centric-facility-footprint-in-savannah-georgia.html
70,CAND_5E094E1B8B,The Southeast US Battery Belt Is Learning To Love EVs - CleanTechnica,review,https://cleantechnica.com/2024/05/08/the-southeast-us-battery-belt-is-learning-to-love-evs/,unmatched,,,
71,CAND_D16B2EDDE2,Hyundai Supplier PHA Will Bring 400+ Jobs To Georgia - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/hyundai-supplier-pha-400-jobs-georgia,unmatched,,,
72,CAND_2998E53E65,"Yes, EV Battery Recycling Plants Are Ready in the U.S.",review,https://www.abiresearch.com/blog/ev-battery-recycling-in-us,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/ev-battery-recycling-in-us.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/ev-battery-recycling-in-us.html
73,CAND_90FD822238,LG Energy Solution and Honda Break Ground for New Joint Venture EV Battery Plant in Ohio | Honda Global Corporate Website,review,https://global.honda/en/newsroom/news/2023/c230301eng.html,unmatched,,,
74,CAND_6A79BC48E1,Lithium-ion battery recycling goes large - C&EN,review,https://cen.acs.org/environment/recycling/Lithium-ion-battery-recycling-goes/101/i38,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/i38.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/i38.html
75,CAND_A86C197BDB,Plugged-in: EV revolution fuels Battery Belt emergence from the Midwest to the South | Baker Tilly,review,https://bakertilly.com/insights/ev-revolution-fuels-battery-belt-emergence-midwest-south,matched,slug_exact,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/ev-revolution-fuels-battery-belt-emergence-midwest-south.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/ev-revolution-fuels-battery-belt-emergence-midwest-south.html
76,CAND_E9D949C218,"Press Release issued by FREYR Battery, Inc. on February ...",review,https://www.sec.gov/Archives/edgar/data/1992243/000121390025011494/ea023045002ex99-1_freyrbat.htm,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/ea023045002ex99-1_freyrbat.htm,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/ea023045002ex99-1_freyrbat.htm
77,CAND_AD8FDFFAE9,"LG Energy, Hyundai to invest additional $2B in Georgia battery cell plant | Utility Dive",review,https://www.utilitydive.com/news/lg-energy-hyundai-additional-2b-ellabell-savannah-georgia-joint-battery-cell/692717/,unmatched,,,
78,CAND_F962152254,"Hyundai Group's First US Electric Vehicle And Battery Plant, A Closer Look",review,https://insideevs.com/news/669976/hyundai-group-metaplant-development-savannah/,matched,basename:Acquired_File_Path,"/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Hyundai_Group's_First_US_Electric_Vehicle_And_Battery_Plant,_A_Closer_Look.html","/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Hyundai_Group's_First_US_Electric_Vehicle_And_Battery_Plant,_A_Closer_Look.html"
79,CAND_0E9EAD9229,[PDF] MEMORANDUM - Treasury.gov,review,https://home.treasury.gov/system/files/136/8-16-23-Deputy-Secretary-of-the-Treasury-Inflation-Reduction-Act-One-Year-Anniversary-Interested-Parties-Memo.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/8-16-23-Deputy-Secretary-of-the-Treasury-Inflation-Reduction-Act-One-Year-Anniversary-Interested-Parties-Memo.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/8-16-23-Deputy-Secretary-of-the-Treasury-Inflation-Reduction-Act-One-Year-Anniversary-Interested-Parties-Memo.pdf
80,CAND_7D29856EC3,LPO Announces $1.45 Billion Loan Guarantee to Qcells to Finance a Solar Manufacturing Facility in Georgia | Department of Energy,review,https://www.energy.gov/lpo/articles/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility.html
81,CAND_53A58F7F73,LPO Announces $1.45 Billion Loan Guarantee to Qcells to Finance a Solar Manufacturing Facility in Georgia | Department of Energy,review,https://www.energy.gov/node/4847345,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility_2.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility_2.html
82,CAND_0D22C48B8B,LPO Announces $1.45 Billion Loan Guarantee to Qcells to Finance a Solar Manufacturing Facility in Georgia | Department of Energy,review,https://www.energy.gov/edf/articles/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility_3.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility_3.html
83,CAND_2A5CB4FFAF,Hyundai Motor Group Will Build Big EV Plant And Battery Facility In Georgia,review,https://insideevs.com/news/587322/hyundai-build-ev-plant-battery-georgia,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Hyundai_Motor_Group_Will_Build_Big_EV_Plant_And_Battery_Facility_In_Georgia.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Hyundai_Motor_Group_Will_Build_Big_EV_Plant_And_Battery_Facility_In_Georgia.html
84,CAND_A9B2768BB5,[PDF] 8 August 2022 US Army Corps of Engineers Savannah District ...,review,https://georgia.org/sites/default/files/2022-08/08.08.2022_response_to_404_permit_public_notice_comments.pdf,unmatched,,,
85,CAND_4C17E6CB55,Georgia: Super Hub of the Southeast - Inbound Logistics,review,https://www.inboundlogistics.com/articles/georgia-super-hub-of-the-southeast/,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_Super_Hub_of_the_Southeast_-_Inbound_Logistics.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_Super_Hub_of_the_Southeast_-_Inbound_Logistics.html
86,CAND_5BA61B9D52,EV Parts Supplier NVH Korea To Establish Georgia Facility,review,https://www.tomorrowstechnician.com/ev-parts-supplier-nvh-korea-to-establish-georgia-facility,unmatched,,,
87,CAND_1FCD217DBF,"Yes, EV Battery Recycling Plants Are Ready in the U.S.",review,https://abiresearch.com/blogs/2024/07/23/ev-battery-recycling-in-us,matched,slug_exact,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/ev-battery-recycling-in-us.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/ev-battery-recycling-in-us.html
88,CAND_B76B6F225B,Hyundai Rotem's Strategic Localization in the U.S. Rail Market: A Blueprint for Supply Chain Resilience,review,https://www.ainvest.com/news/hyundai-rotem-strategic-localization-rail-market-blueprint-supply-chain-resilience-2509/,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Hyundai_Rotem's_Strategic_Localization_in_the_U.S.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Hyundai_Rotem's_Strategic_Localization_in_the_U.S.html
89,CAND_E596B15CDA,"Kia to tap Savannah for Telluride components, Brunswick for export - Georgia Ports Authority",review,https://gaports.com/press-releases/kia-to-tap-savannah-for-telluride-components-brunswick-for-export,unmatched,,,
90,CAND_520294220B,Tracking the EV battery factory construction boom across North America | TechCrunch,review,https://techcrunch.com/2025/02/06/tracking-the-ev-battery-factory-construction-boom-across-north-america/,unmatched,,,
91,CAND_BDE8A47A20,"Battery Resourcers to Open North America’s Largest Lithium-ion Battery Recycling Facility in Georgia, Create 150 Jobs | Georgia.org",review,https://georgia.org/press-release/battery-resourcers-open-north-americas-largest-lithium-ion-battery-recycling-facility,unmatched,,,
92,CAND_C17AC4F4B6,Georgia is plugged in to electric transportation | Select Georgia,review,https://selectgeorgia.com/news-and-updates/electric-transportation,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_is_plugged_in_to_electric_transportation_Select_Georgia.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_is_plugged_in_to_electric_transportation_Select_Georgia.html
93,CAND_A9C0247D4B,EV Parts Supplier NVH Korea To Establish Georgia Facility,review,https://www.aftermarketnews.com/nvh-korea-georgia-manufacturing-facility/,unmatched,,,
94,CAND_61061248ED,SK On and Hyundai Partner on Georgia EV Battery Plant | News | SK,review,https://eng.sk.com/news/sk-on-and-hyundai-motor-bolster-support-for-u-s-evs-with-georgia-battery-plant,unmatched,,,
95,CAND_DAE853B86C,[PDF] Automotive Manufacturing - Amazon AWS,review,https://selectgeorgia-production-assets.s3.amazonaws.com/media/documents/Automotive_Manufacturing_2026.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Automotive_Manufacturing_2026.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Automotive_Manufacturing_2026.pdf
96,CAND_18824E5528,Seoyon E-Hwa To Invest $76M In Georgia Manufacturing Facility - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/seoyon-e-hwa-to-invest-76m-in-georgia-manufacturing-facility,unmatched,,,
97,CAND_6E626CDF26,Georgia Companies Hit Key Milestones in Long-Term Partnerships | Georgia.org,review,https://georgia.org/blog/georgia-companies-hit-key-milestones-long-term-partnerships,unmatched,,,
98,CAND_D9C76EDE63,"Troup County, Georgia | Business View Magazine",review,https://businessviewmagazine.com/troup-county-georgia,unmatched,,,
99,CAND_E4E7C406CA,Hyundai Motor Group Metaplant America - Wikipedia,review,https://en.wikipedia.org/wiki/Hyundai_Motor_Group_Metaplant_America,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Hyundai_Motor_Group_Metaplant_America.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Hyundai_Motor_Group_Metaplant_America.html
100,CAND_A3957BDF7E,Plugged-in: EV revolution fuels Battery Belt emergence ...,review,https://www.bakertilly.com/insights/ev-revolution-fuels-battery-belt-emergence-midwest-south,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/ev-revolution-fuels-battery-belt-emergence-midwest-south.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/ev-revolution-fuels-battery-belt-emergence-midwest-south.html
101,CAND_D8E27525FD,Daechang Seat latest supplier to localise production with Hyundai in Georgia | Automotive Logistics,review,https://www.automotivelogistics.media/ev-and-battery/hyundai-supported-by-suppliers-in-race-to-localise-ev-production-in-us/215849,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/215849.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/215849.html
102,CAND_63A0ADB411,"Savannah, Brunswick Georgia Ports Set for a $4.5B Revamp",review,https://www.constructconnect.com/construction-economic-news/savannah-brunswick-ports-set-for-a-4.5b-revamp,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/savannah-brunswick-ports-set-for-a-4.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/savannah-brunswick-ports-set-for-a-4.html
103,CAND_874736A261,Georgia: Super Hub of the Southeast - Inbound Logistics,review,https://www.inboundlogistics.com/articles/georgia-super-hub-of-the-southeast,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_Super_Hub_of_the_Southeast_-_Inbound_Logistics_2.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_Super_Hub_of_the_Southeast_-_Inbound_Logistics_2.html
104,CAND_60B5574D39,Hyundai and SK On plan $5B Georgia EV battery plant | Manufacturing Dive,review,https://www.manufacturingdive.com/news/Hyundai-SK-On-plan-5B-Georgia-EV-battery-joint-venture/648576/,unmatched,,,
105,CAND_BE16ECF13E,Hyundai Mobis to build EV power system plant in Bryan County Georgia,review,https://www.savannahnow.com/story/business/automotive/2022/11/25/hyundai-mobis-electric-vehicle-power-system-plant-bryan-county-georgia/10762116002,unmatched,,,
106,CAND_E2AE4DA8E7,"Brunswick EV battery plant delayed, but still on track",review,https://www.palmbeachpost.com/story/news/local/2025/07/03/brunswick-ev-battery-plant-delayed-but-still-on-track-epsilon-advanced-materials-india/84430231007,matched,basename:Acquired_File_Path,"/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Brunswick_EV_battery_plant_delayed,_but_still_on_track.html","/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Brunswick_EV_battery_plant_delayed,_but_still_on_track.html"
107,CAND_71E154DA01,Georgia: The Gem of The Southeast - Inbound Logistics,review,https://www.inboundlogistics.com/articles/georgia-the-gem-of-the-southeast,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_The_Gem_of_The_Southeast_-_Inbound_Logistics.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_The_Gem_of_The_Southeast_-_Inbound_Logistics.html
108,CAND_F9790D0D03,Georgia: The Logistics Advantage - Inbound Logistics,review,https://www.inboundlogistics.com/articles/georgia-the-logistics-advantage,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia_The_Logistics_Advantage_-_Inbound_Logistics.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia_The_Logistics_Advantage_-_Inbound_Logistics.html
109,CAND_61384AC16E,"Brunswick EV battery plant delayed, but still on track",review,https://www.starnewsonline.com/story/news/local/2025/07/03/brunswick-ev-battery-plant-delayed-but-still-on-track-epsilon-advanced-materials-india/84430231007/,matched,basename:Acquired_File_Path,"/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Brunswick_EV_battery_plant_delayed,_but_still_on_track_2.html","/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Brunswick_EV_battery_plant_delayed,_but_still_on_track_2.html"
110,CAND_645DC9A550,Seoyon E-Hwa To Invest $76M In Georgia Manufacturing Facility - Automotive - Business Facilities Magazine,review,https://businessfacilities.com/seoyon-e-hwa-to-invest-76m-in-georgia-manufacturing-facility/2,unmatched,,,
111,CAND_CB9188102F,Hyundai’s Georgia EV supplier network adds 3 more manufacturers | Supply Chain Dive,review,https://www.supplychaindive.com/news/hyundai-georgia-supplier-network-nvh-korea-daesol-ausys-das-corp-manufacturers/693434,unmatched,,,
112,CAND_EE66208D1B,Longtime Kia and HMG Supplier to Build Manufacturing Facility in Bulloch County – Savannah Harbor-Interstate 16 Corridor Joint Development Authority,review,https://savannahjda.com/2023/01/longtime-kia-and-hmg-supplier-to-build-manufacturing-facility-in-bulloch-county,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Longtime_Kia_and_HMG_Supplier_to_Build_Manufacturing_Facility_in_Bulloch_County_–_Savannah_Harbor-Interstate_16_Corridor_Joint_Development_Authority.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Longtime_Kia_and_HMG_Supplier_to_Build_Manufacturing_Facility_in_Bulloch_County_–_Savannah_Harbor-Interstate_16_Corridor_Joint_Development_Authority.html
113,CAND_F681404F30,| Georgia: Logistics Front and Center,review,https://inboundlogistics.com/cms/article/georgia-logistics-front-and-center,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/_Georgia_Logistics_Front_and_Center.html,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/_Georgia_Logistics_Front_and_Center.html
114,CAND_FE3C42CB44,"Hyundai, LG to Put $2B More Into Georgia Battery Joint Venture - Global Atlanta",review,https://www.globalatlanta.com/hyundai-lg-to-put-2b-more-into-georgia-battery-joint-venture/,unmatched,,,
